label,recall,precision
human,0.052526595744680854,0.9753086419753086
human,0.05319148936170213,0.975609756097561
human,0.0538563829787234,0.9759036144578314
human,0.05452127659574468,0.9761904761904762
human,0.05518617021276596,0.9764705882352941
human,0.05585106382978723,0.9767441860465116
human,0.05651595744680851,0.9770114942528736
human,0.057180851063829786,0.9772727272727273
human,0.05784574468085106,0.9775280898876404
human,0.05851063829787234,0.9777777777777777
human,0.059175531914893616,0.978021978021978
human,0.0598404255319149,0.9782608695652174
human,0.06050531914893617,0.978494623655914
human,0.061170212765957445,0.9787234042553191
human,0.061835106382978726,0.9789473684210527
human,0.0625,0.9791666666666666
human,0.06316489361702128,0.979381443298969
human,0.06382978723404255,0.9795918367346939
human,0.06382978723404255,0.9696969696969697
human,0.06449468085106383,0.97
human,0.06515957446808511,0.9702970297029703
human,0.06582446808510638,0.9705882352941176
human,0.06648936170212766,0.970873786407767
human,0.06715425531914894,0.9711538461538461
human,0.0678191489361702,0.9714285714285714
human,0.06848404255319149,0.9716981132075472
human,0.06914893617021277,0.9719626168224299
human,0.06981382978723404,0.9722222222222222
human,0.06981382978723404,0.963302752293578
human,0.07047872340425532,0.9636363636363636
human,0.07047872340425532,0.954954954954955
human,0.0711436170212766,0.9553571428571429
human,0.07180851063829788,0.9557522123893806
human,0.07247340425531915,0.956140350877193
human,0.07313829787234043,0.9565217391304348
human,0.07380319148936171,0.9568965517241379
human,0.07446808510638298,0.9572649572649573
human,0.07513297872340426,0.9576271186440678
human,0.07579787234042554,0.957983193277311
human,0.0764627659574468,0.9583333333333334
human,0.07712765957446809,0.9586776859504132
human,0.07779255319148937,0.9590163934426229
human,0.07845744680851063,0.959349593495935
human,0.07912234042553191,0.9596774193548387
human,0.0797872340425532,0.96
human,0.08045212765957446,0.9603174603174603
human,0.08111702127659574,0.9606299212598425
human,0.08178191489361702,0.9609375
human,0.08178191489361702,0.9534883720930233
human,0.08244680851063829,0.9538461538461539
human,0.08311170212765957,0.9541984732824428
human,0.08377659574468085,0.9545454545454546
human,0.08444148936170212,0.9548872180451128
human,0.0851063829787234,0.9552238805970149
human,0.08577127659574468,0.9555555555555556
human,0.08643617021276596,0.9558823529411765
human,0.08710106382978723,0.9562043795620438
human,0.08776595744680851,0.9565217391304348
human,0.0884308510638298,0.9568345323741008
human,0.0884308510638298,0.95
human,0.08909574468085106,0.950354609929078
human,0.08976063829787234,0.9507042253521126
human,0.09042553191489362,0.951048951048951
human,0.09109042553191489,0.9513888888888888
human,0.09175531914893617,0.9517241379310345
human,0.09175531914893617,0.9452054794520548
human,0.09242021276595745,0.9455782312925171
human,0.09308510638297872,0.9459459459459459
human,0.09375,0.9463087248322147
human,0.09441489361702128,0.9466666666666667
human,0.09507978723404255,0.9470198675496688
human,0.09574468085106383,0.9473684210526315
human,0.09640957446808511,0.9477124183006536
human,0.09707446808510638,0.948051948051948
human,0.09773936170212766,0.9483870967741935
human,0.09840425531914894,0.9487179487179487
human,0.0990691489361702,0.9490445859872612
human,0.09973404255319149,0.9493670886075949
human,0.09973404255319149,0.9433962264150944
human,0.10039893617021277,0.94375
human,0.10039893617021277,0.937888198757764
human,0.10106382978723404,0.9382716049382716
human,0.10172872340425532,0.9386503067484663
human,0.1023936170212766,0.9390243902439024
